Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Last_Update
270,Guitar Hero III: Legends of Rock,PS2,RedOctane,BudCat Creations,8.2,,4.98,2007,
271,Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,Naughty Dog,8.7,8.6,4.97,2007,
272,Resident Evil 2,PS,Capcom,Capcom,9.3,,4.96,1998,
273,Fallout 3,X360,Bethesda Softworks,Bethesda Game Studios,9,8.6,4.96,2008,
274,Splatoon,WiiU,Nintendo,Nintendo EAD,8.4,8.7,4.95,2015,01st Jan 18
275,Madden NFL 06,PS2,EA Sports,EA Tiburon,9.1,,4.91,2005,
276,Stardew Valley,PC,Chucklefish,ConcernedApe,9.2,8.7,4.91,2016,21st Mar 18
277,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,Level 5 / Armor Project,8.6,,4.9,2005,
278,Monster Hunter Freedom 3,PSP,Capcom,Capcom,,,4.9,2010,08th Jan 19
279,Diddy Kong Racing,N64,Nintendo,Rare Ltd.,8.3,,4.88,1997,
280,Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,ChunSoft,6.4,,4.88,2008,
281,Call of Duty: Black Ops IIII,XOne,Activision,Treyarch,,,4.85,2018,07th Nov 18
